text,label,label_id,split
Wieczorem bardzo boję się gdy myślę o przyszłości. Mam napięte mięśnie.,fear,2,train
"W pracy naprawdę jestem szczęśliwy, gdy dostałem dobrą wiadomość, dlatego ten moment jest cudowny. Nie mogę przestać o tym myśleć.",joy,3,val
W tej chwili bardzo jestem zirytowana gdy ktoś mnie ignoruje. To przekracza wszelkie granice. Trudno mi to zignorować.,anger,0,train
W domu ja bardzo jestem szczęśliwa gdy dostałem dobrą wiadomość; wszystko wydaje się prostsze. To mocno wpływa na mój nastrój.,joy,3,train
Wieczorem wyjątkowo jestem zniesmaczona kiedy czuję ten zapach. Aż odechciewa mi się jeść.,disgust,1,train
"Na uczelni ostatnio trochę jestem przerażony przed rozmową kwalifikacyjną; czuję, że coś złego może się stać.",fear,2,train
"Teraz po tym wszystkim trochę czuję strach przed wynikami badań, kiedy nie umiem przestać się martwić.",fear,2,train
"Wieczorem niesamowicie jestem zachwycona, po rozmowie z przyjacielem, dlatego wszystko wydaje się prostsze.",joy,3,train
"Od rana bardzo nie mogę uwierzyć, gdy zobaczyłem prezent, dlatego to całkowicie zmienia sytuację.",surprise,5,test
"Po południu strasznie jestem zirytowana, kiedy ktoś narusza moje granice, dlatego tracę cierpliwość.",anger,0,test
W domu ja jest mi bardzo ciężko po nieudanym egzaminie i trudno mi się skupić. Mam to w głowie przez cały dzień.,sadness,4,val
W domu strasznie jestem zirytowany przez ten bałagan. Czuję napięcie w całym ciele.,anger,0,train
"W domu autentycznie czuję wstręt, kiedy czuję ten zapach, dlatego muszę odwrócić wzrok.",disgust,1,train
"W tej chwili bardzo jest mi niedobrze, gdy ktoś mlaska przy stole, dlatego to jest odpychające.",disgust,1,train
"Wieczorem ja naprawdę czuję strach gdy słyszę dziwne dźwięki w nocy; czuję, że coś złego może się stać.",fear,2,train
Dziś dziś jest mi smutno gdy pada deszcz i siedzę sam i ten dzień mnie przytłacza. Wciąż do tego wracam myślami.,sadness,4,train
"Dziś dziś szczerze to było nieoczekiwane po tej propozycji, ponieważ tego się nie spodziewałem.",surprise,5,train
